Gridded_UID,Desktop_UID,marxancode,section,speciesgroup,species,featuretype,attributetype,,final_target_low,final_target_med,final_target_high,Issue,Tracked,species name,postremoval
eco_areas_estuaries_polygons_d,eco_areas_estuaries_polygons_d,3010700,eco,areas,estuaries,polygons,,Estuaries,20,40,60,,,Estuaries,no
eco_areas_fishbenthic_cciradiversity_m,eco_areas_fishbenthic_cciradiversity_m,3020800,eco,areas,fishbenthic,cciradiversity,,Benthic Fish,10,20,30,,,Benthic Fish,no
eco_areas_fishbenthic_phmasyndiversity_d,eco_areas_fishbenthic_phmasyndiversity_d,3020400,eco,areas,fishbenthic,phmasyndiversity,,Benthic Fish,10,20,30,,,Benthic Fish,no
eco_areas_fishshelf_biomass_d,eco_areas_fishshelf_biomass_d,3020100,eco,areas,fishshelf,biomass,,Shelf Fish,10,20,30,,,Shelf Fish,no
eco_areas_highcurrent_ebsa_d,eco_areas_highcurrent_ebsa_d,3010500,eco,areas,highcurrent,ebsa,,High Current,20,40,60,,,High Current,no
eco_areas_highcurrent_nonebsa_d,eco_areas_highcurrent_nonebsa_d,3011200,eco,areas,highcurrent,nonebsa,,High Current^,0,0,0,,^,High Current,no
eco_areas_highrugosity_polygons_d,eco_areas_highrugosity_polygons_d,3010100,eco,areas,highrugosity,polygons,,High Rugosity,20,40,60,,,High Rugosity,no
eco_areas_importantbirdareas_polygons_d,eco_areas_importantbirdareas_polygons_d,3020700,eco,areas,importantbirdareas,polygons,,Important bird areas^,0,0,0,,^,Important bird areas,no
eco_areas_invertsshelf_biomass_d,eco_areas_invertsshelf_biomass_d,3020200,eco,areas,invertsshelf,biomass,,Shelf Invertebrate,10,20,30,,,Shelf Invertebrate,no
eco_areas_invertsshelf_diversity_d,eco_areas_invertsshelf_diversity_d,3020600,eco,areas,invertsshelf,diversity,,Shelf Invertebrate,10,20,30,,,Shelf Invertebrate,no
eco_areas_richness_nearshorehabitat_d,eco_areas_richness_nearshorehabitat_d,3020300,eco,areas,richness,nearshorehabitat,,Richness,10,20,30,,,Richness,no
eco_birds_albatross_density_m,eco_birds_albatross_density_m,5200100,eco,birds,albatross,density,,Albatrosses,10,15,20,,,Albatrosses,no
eco_birds_ancientmurrelet_colonies_d,eco_birds_ancientmurrelet_colonies_d,5040100-300,eco,birds,ancientmurrelet,colonies,,Ancient Murrelet,40,50,60,,,Ancient Murrelet,yes
